title,type,band
ときめきエクスペリエンス！,オリジナル,Poppin'Party
キラキラだとか夢だとか～Sing Girls～,オリジナル,Poppin'Party
Yes！BanG_Dream！,オリジナル,Poppin'Party
ティアドロップス,オリジナル,Poppin'Party
ぽっぴん’しゃっふる,オリジナル,Poppin'Party
STAR BEAT！～ホシノコドウ～,オリジナル,Poppin'Party
夏空SUN！SUN！SEVEN！,オリジナル,Poppin'Party
走り始めたばかりのキミに,オリジナル,Poppin'Party
1000回潤んだ空,オリジナル,Poppin'Party
Happy Happy Party！,オリジナル,Poppin'Party
That Is How I Roll!,オリジナル,Afterglow
True color,オリジナル,Afterglow
しゅわりん☆どり～みん,オリジナル,Pastel*Palettes
パスパレボリューションず☆,オリジナル,Pastel*Palettes
BLACK SHOUT,オリジナル,Roselia
Re:birth day,オリジナル,Roselia
えがおのオーケストラっ！,オリジナル,ハロー、ハッピーワールド！
ハピネスっ！ハピィーマジカルっ♪,オリジナル,ハロー、ハッピーワールド！
空色デイズ,カバー,Poppin'Party
Alchemy,カバー,Poppin'Party
カルマ,カバー,Afterglow
Butter-Fly,カバー,Afterglow
secret base～君がくれたもの～,カバー,Pastel*Palettes
ドリームパレード,カバー,Pastel*Palettes
魂のルフラン,カバー,Roselia
Hacking to the Gate,カバー,Roselia
シュガーソングとビターステップ,カバー,ハロー、ハッピーワールド！
いーあるふぁんくらぶ,カバー,ハロー、ハッピーワールド！
Don’t say “lazy”,カバー,Afterglow
Don’t be afraid,オリジナル,Glitter*Green
光るなら,カバー,Poppin'Party
前へススメ！,オリジナル,Poppin'Party
シルエット,カバー,ハロー、ハッピーワールド！
LOUDER,オリジナル,Roselia
そばかす,カバー,Pastel*Palettes
ゴーカ！ごーかい！？ファントムシーフ！,オリジナル,ハロー、ハッピーワールド！
OO,カバー,Roselia
キミにもらったもの,オリジナル,Poppin'Party
夢みるSunflower,オリジナル,Poppin'Party
Little Busters！,カバー,Poppin'Party
正解はひとつ！じゃない！！,カバー,Poppin'Party×グリグリ
天体観測,カバー,Afterglow×香澄
Scarlet Sky,オリジナル,Afterglow×香澄
MOON PRIDE,カバー,Pastel*Palettes
はなまる◎アンダンテ,オリジナル,Pastel*Palettes
どきどきSING OUT！,オリジナル,戸山香澄
ハッピーサマーウェディング,カバー,ハロー、ハッピーワールド！
陽だまりロードナイト,オリジナル,Roselia
紅蓮の弓矢,カバー,Roselia
God knows…,カバー,Poppin'Party
花園電気ギター！！！,オリジナル,花園たえ
great escape,カバー,Afterglow
ゆら・ゆらRing-Dong-Dance,オリジナル,Pastel*Palettes
ふわふわ時間,カバー,Pastel*Palettes
