type,title,band
既存曲,Tell Your World,バーチャル・シンガー
既存曲,ネクストネスト,バーチャル・シンガー
既存曲,メルト,バーチャル・シンガー
既存曲,初音ミクの消失,バーチャル・シンガー
既存曲,Blessing,バーチャル・シンガー
公募曲,alive,バーチャル・シンガー
既存曲,ロキ,Leo/need
既存曲,テオ,Leo/need
既存曲,ヒバナ -Reloaded-,Leo/need
既存曲,ハッピーシンセサイザ,MORE MORE JUMP！
既存曲,Nostalogic,MORE MORE JUMP！
既存曲,ツギハギスタッカート,MORE MORE JUMP！
既存曲,劣等上等,Vivid BAD SQUAD
既存曲,ドクター＝ファンクビート,Vivid BAD SQUAD
既存曲,フラジール,Vivid BAD SQUAD
既存曲,ブリキノダンス,ワンダーランズ×ショウタイム
既存曲,スイートマジック,ワンダーランズ×ショウタイム
既存曲,ぼうけんのしょがきえました！,ワンダーランズ×ショウタイム
既存曲,シャルル,25時、ナイトコードで。
既存曲,ハロ／ハワユ,25時、ナイトコードで。
既存曲,自傷無色,25時、ナイトコードで。
書き下ろし楽曲,needLe,Leo/need
書き下ろし楽曲,アイドル新鋭隊,MORE MORE JUMP！
書き下ろし楽曲,Ready Steady,Vivid BAD SQUAD
書き下ろし楽曲,セカイはまだ始まってすらいない,ワンダーランズ×ショウタイム
書き下ろし楽曲,悔やむと書き下ろし楽曲いてミライ,25時、ナイトコードで。
書き下ろし楽曲,セカイ,その他
書き下ろし楽曲,ワーワーワールド,その他
既存曲,アスノヨゾラ哨戒班,Leo/need
既存曲,ニア,MORE MORE JUMP！
既存曲,Just Be Friends,Vivid BAD SQUAD
既存曲,脱法ロック,ワンダーランズ×ショウタイム
既存曲,命に嫌われている,25時、ナイトコードで。
既存曲,ワールドイズマイン,バーチャル・シンガー
既存曲,ダンスロボットダンス,ワンダーランズ×ショウタイム
既存曲,Hand in Hand,バーチャル・シンガー
既存曲,夜咄ディセイブ,Vivid BAD SQUAD
既存曲,Gimme×Gimme,バーチャル・シンガー
既存曲,ビバハピ,MORE MORE JUMP！
既存曲,ジャンキーナイトタウンオーケストラ,バーチャル・シンガー
既存曲,ミラクルペイント,ワンダーランズ×ショウタイム
既存曲,on the rocks,バーチャル・シンガー
書き下ろし楽曲,携帯恋話,25時、ナイトコードで。
既存曲,39みゅーじっく！,バーチャル・シンガー
既存曲,青く駆けろ！,Leo/need
書き下ろし楽曲,ステラ,Leo/need
既存曲,Leia - Remind,バーチャル・シンガー
書き下ろし楽曲,ジャックポットサッドガール,25時、ナイトコードで。
既存曲,メルティランドナイトメア,MORE MORE JUMP！
既存曲,乙女解剖,25時、ナイトコードで。
書き下ろし楽曲,potatoになっていく,ワンダーランズ×ショウタイム
既存曲,ローリンガール,バーチャル・シンガー
書き下ろし楽曲,モア！ジャンプ！モア！,MORE MORE JUMP！
既存曲,裏表ラバーズ,バーチャル・シンガー
既存曲,アンノウン・マザーグース,バーチャル・シンガー
既存曲,愛されなくても君がいる,バーチャル・シンガー
既存曲,ウミユリ海底譚,Leo/need
書き下ろし楽曲,Forward,Vivid BAD SQUAD
既存曲,独りんぼエンヴィー,25時、ナイトコードで。
書き下ろし楽曲,ニジイロストーリーズ,ワンダーランズ×ショウタイム
既存曲,ODDS＆ENDS,バーチャル・シンガー
既存曲,ドラマツルギー,Leo/need
既存曲,グリーンライツ・セレナーデ,バーチャル・シンガー
既存曲,恋愛裁判,MORE MORE JUMP！
既存曲,＊ハロー、プラネット。,バーチャル・シンガー
既存曲,千本桜,バーチャル・シンガー
既存曲,ECHO,Vivid BAD SQUAD
既存曲,チュルリラ・チュルリラ・ダッダッダ！,ワンダーランズ×ショウタイム
既存曲,ブレス・ユア・ブレス,バーチャル・シンガー
既存曲,とても痛い痛がりたい,25時、ナイトコードで。
書き下ろし楽曲,霽れを待つ,Leo/need
既存曲,ワールズエンド・ダンスホール,バーチャル・シンガー
既存曲,ヒビカセ,バーチャル・シンガー
書き下ろし楽曲,Color of Drops,MORE MORE JUMP！
書き下ろし楽曲,RAD DOGS,Vivid BAD SQUAD
既存曲,ミルククラウン・オン・ソーネチカ,MORE MORE JUMP！
既存曲,タイムマシン,Leo/need
既存曲,drop pop candy,Vivid BAD SQUAD
既存曲,ポジティブ☆ダンスタイム,ワンダーランズ×ショウタイム
公募曲,Brand New Day,バーチャル・シンガー
書き下ろし楽曲,限りなく灰色へ,25時、ナイトコードで。
書き下ろし楽曲,ワンスアポンアドリーム,ワンダーランズ×ショウタイム
既存曲,ボッカデラベリタ,25時、ナイトコードで。
既存曲,みくみくにしてあげる♪【してやんよ】,バーチャル・シンガー
既存曲,威風堂々,Vivid BAD SQUAD
既存曲,from Y to Y,Leo/need
既存曲,初音ミクの激唱,バーチャル・シンガー
書き下ろし楽曲,天使のクローバー,MORE MORE JUMP！
既存曲,お気に召すまま,ワンダーランズ×ショウタイム
既存曲,どりーみんチュチュ,MORE MORE JUMP！
書き下ろし楽曲,アイディスマイル,25時、ナイトコードで。
書き下ろし楽曲,「１」,Leo/need
公募曲,花を唄う,バーチャル・シンガー
既存曲,夜に駆ける,25時、ナイトコードで。
既存曲,幽霊東京,Vivid BAD SQUAD
書き下ろし楽曲,シネマ,Vivid BAD SQUAD
既存曲,KING,ワンダーランズ×ショウタイム
書き下ろし楽曲,アイノマテリアル,MORE MORE JUMP！
既存曲,いかないで,Leo/need
既存曲,ロミオとシンデレラ,MORE MORE JUMP！
公募曲,泡沫未来,バーチャル・シンガー
書き下ろし楽曲,トンデモワンダーズ,ワンダーランズ×ショウタイム
書き下ろし楽曲,カナデトモスソラ,25時、ナイトコードで。
